"346989","/media/ECLAIR/Anime"
"1635649","/media/MOCHI/Anime"
"1982638","Anime Total"
"1587823","/media/ECLAIR/Movies"
"1587823",Movies Total"
"1773775","/media/DANISH/Media/TV\ Shows"
"1773775",TV Shows Total"
"122776","/media/DANISH/Media/Special\ Libraries"
"122776",Specials Total"
"420","/home/clara"
"420","Users Total"
"9615","/var/lib/plexmediaserver"
"9615","Plex Database Total"
"56837","/media/DANISH/Media/Music"
"56837",Music Total"
"480539","/media/GRANOLA/Backups-Muffin"
"480539","Backups Total"
"6729982","/media "
"2053276","/media/DANISH "
"2130827","/media/ECLAIR "
"840538","/media/GRANOLA "
"1635650","/media/MOCHI "
"69694","/media/MOUSSE "
